# Generated by Autoplot on Mon Oct 24 07:11:35 CDT 2011
# UNITS: R_E
#time(UTC), X (GSM), Y (GSM), Z (GSM)
2008-01-17T03:16:56.162Z, 4.5221, 2.1563, -0.2727816104888916
2008-01-17T03:17:51.362Z, 4.5038, 2.1523, -0.24851571023464203
2008-01-17T03:18:46.561Z, 4.4854, 2.1482, -0.22423899173736572
2008-01-17T03:19:41.761Z, 4.4668, 2.1440, -0.19995124638080597
2008-01-17T05:42:17.760Z, -1.1658929586410522, 0.0057968, 1.7905
2008-01-17T05:43:12.960Z, -1.2091991901397705, -0.02327336184680462, 1.7642
2008-01-17T05:44:08.160Z, -1.2519397735595703, -0.052376098930835724, 1.7371
2008-01-17T05:45:03.360Z, -1.2940974235534668, -0.08149925619363785, 1.7093
2008-01-17T05:45:58.560Z, -1.3356376886367798, -0.11063065379858017, 1.6806
2008-01-17T05:46:53.760Z, -1.3765194416046143, -0.13975657522678375, 1.6512
2008-01-17T05:47:48.960Z, -1.4167684316635132, -0.16886477172374725, 1.6211
2008-01-17T05:48:44.160Z, -1.4563711881637573, -0.197943776845932, 1.5903
2008-01-17T05:49:39.360Z, -1.4953155517578125, -0.22698234021663666, 1.5588
2008-01-17T05:50:34.560Z, -1.5335900783538818, -0.25596946477890015, 1.5267
2008-01-17T05:51:29.760Z, -1.571184515953064, -0.2848944365978241, 1.4939
2008-01-17T05:52:24.960Z, -1.6080896854400635, -0.3137468695640564, 1.4605
2008-01-17T05:53:20.160Z, -1.6442971229553223, -0.34251669049263, 1.4266
2008-01-17T05:54:15.360Z, -1.6797999143600464, -0.37119418382644653, 1.3920
2008-01-17T05:55:10.560Z, -1.7145918607711792, -0.39976996183395386, 1.3570
2008-01-17T05:56:05.760Z, -1.748667597770691, -0.42823508381843567, 1.3214
2008-01-17T05:57:00.960Z, -1.7820229530334473, -0.4565809369087219, 1.2853
2008-01-17T05:57:56.160Z, -1.8145995140075684, -0.4847888648509979, 1.2486
2008-01-17T05:58:51.360Z, -1.8464359045028687, -0.5128575563430786, 1.2116
2008-01-17T05:59:46.560Z, -1.8775451183319092, -0.5407821536064148, 1.1740
2008-01-17T06:00:41.760Z, -1.9079265594482422, -0.5685558915138245, 1.1361
2008-01-17T06:01:36.960Z, -1.937580943107605, -0.5961722135543823, 1.0978
2008-01-17T06:02:32.160Z, -1.966509461402893, -0.6236251592636108, 1.0591
2008-01-17T06:03:27.360Z, -1.9947141408920288, -0.6509090662002563, 1.0201
2008-01-17T06:04:22.560Z, -2.022197723388672, -0.6780187487602234, 0.98069
2008-01-17T06:05:17.760Z, -2.0489635467529297, -0.7049492597579956, 0.94101
2008-01-17T06:06:12.960Z, -2.0750155448913574, -0.7316962480545044, 0.90105
2008-01-17T06:07:08.160Z, -2.100358247756958, -0.7582554817199707, 0.86081
2008-01-17T06:08:03.360Z, -2.124997138977051, -0.7846232652664185, 0.82033
2008-01-17T06:08:58.560Z, -2.1489176750183105, -0.8107905983924866, 0.77961
2008-01-17T06:09:53.760Z, -2.17210054397583, -0.8367464542388916, 0.73866
2008-01-17T06:10:48.960Z, -2.194599151611328, -0.8625012040138245, 0.69752
2008-01-17T06:11:44.160Z, -2.2164204120635986, -0.8880525231361389, 0.65621
2008-01-17T06:12:39.360Z, -2.2375717163085938, -0.9133984446525574, 0.61473
2008-01-17T06:13:34.560Z, -2.2580606937408447, -0.9385372400283813, 0.57311
2008-01-17T06:14:29.760Z, -2.277894973754883, -0.9634674191474915, 0.53135
2008-01-17T06:15:24.960Z, -2.2970833778381348, -0.9881877303123474, 0.48949
2008-01-17T06:16:20.160Z, -2.315633535385132, -1.0126972198486328, 0.44752
2008-01-17T06:17:15.360Z, -2.333554744720459, -1.0369952917099, 0.40547
2008-01-17T06:18:10.560Z, -2.3508553504943848, -1.0610811710357666, 0.36334
2008-01-17T06:19:05.760Z, -2.367544174194336, -1.0849547386169434, 0.32115
2008-01-17T06:20:00.960Z, -2.3836302757263184, -1.1086158752441406, 0.27891
2008-01-17T06:20:56.160Z, -2.399078607559204, -1.1320483684539795, 0.23663
2008-01-17T06:21:51.360Z, -2.413933038711548, -1.1552647352218628, 0.19433
2008-01-17T06:24:36.960Z, -2.4550931453704834, -1.2236461639404297, 0.067393
2008-01-17T06:25:32.160Z, -2.467709541320801, -1.2460198402404785, 0.025099
2008-01-17T06:26:27.360Z, -2.4797897338867188, -1.2681849002838135, -0.01716914214193821
2008-01-17T06:27:22.560Z, -2.491342544555664, -1.2901424169540405, -0.05940358340740204
2008-01-17T06:28:17.760Z, -2.5023772716522217, -1.3118937015533447, -0.10159607976675034
2008-01-17T06:29:12.960Z, -2.5129032135009766, -1.3334397077560425, -0.14373886585235596
2008-01-17T06:30:08.160Z, -2.5229289531707764, -1.354781985282898, -0.18582454323768616
2008-01-17T06:31:03.360Z, -2.532463550567627, -1.3759218454360962, -0.22784607112407684
2008-01-17T06:31:58.560Z, -2.5415024757385254, -1.3968549966812134, -0.2697944939136505
2008-01-17T06:32:53.760Z, -2.5500376224517822, -1.417575716972351, -0.31165969371795654
2008-01-17T06:33:48.960Z, -2.558109760284424, -1.4380989074707031, -0.35344043374061584
2008-01-17T06:34:44.160Z, -2.565727710723877, -1.4584262371063232, -0.39513108134269714
2008-01-17T06:35:39.360Z, -2.572899341583252, -1.4785594940185547, -0.43672627210617065
2008-01-17T06:36:34.560Z, -2.5796334743499756, -1.498500108718872, -0.47822093963623047
2008-01-17T06:37:29.760Z, -2.5859382152557373, -1.5182501077651978, -0.5196102857589722
2008-01-17T06:38:24.960Z, -2.5918214321136475, -1.5378111600875854, -0.560889720916748
2008-01-17T06:39:20.160Z, -2.5972912311553955, -1.5571849346160889, -0.602055013179779
2008-01-17T06:40:15.360Z, -2.602355480194092, -1.5763734579086304, -0.6431021094322205
2008-01-17T06:41:10.560Z, -2.6070220470428467, -1.5953783988952637, -0.6840271353721619
2008-01-17T06:42:05.760Z, -2.611298084259033, -1.6142016649246216, -0.724826455116272
2008-01-17T06:43:00.960Z, -2.615191698074341, -1.6328450441360474, -0.7654967308044434
2008-01-17T06:43:56.160Z, -2.6186816692352295, -1.6512970924377441, -0.806024432182312
2008-01-17T06:44:51.360Z, -2.621797800064087, -1.6695698499679565, -0.846413791179657
2008-01-17T06:45:46.560Z, -2.624554395675659, -1.687668800354004, -0.8866645097732544
2008-01-17T06:46:41.759Z, -2.626958131790161, -1.7055953741073608, -0.9267733097076416
2008-01-17T06:47:36.959Z, -2.629016160964966, -1.7233519554138184, -0.9667392373085022
2008-01-17T06:48:32.159Z, -2.63073468208313, -1.7409402132034302, -1.0065593719482422
2008-01-17T06:49:27.359Z, -2.6321206092834473, -1.7583619356155396, -1.0462315082550049
2008-01-17T06:50:22.559Z, -2.6331803798675537, -1.7756187915802002, -1.0857536792755127
2008-01-17T06:51:17.759Z, -2.6339199542999268, -1.7927128076553345, -1.125124216079712
2008-01-17T06:52:12.959Z, -2.6343460083007812, -1.809645652770996, -1.1643413305282593
2008-01-17T06:53:08.159Z, -2.6344640254974365, -1.8264189958572388, -1.203403353691101
2008-01-17T06:54:03.359Z, -2.634280204772949, -1.8430348634719849, -1.2423090934753418
2008-01-17T06:54:58.559Z, -2.6337924003601074, -1.8594902753829956, -1.2810524702072144
2008-01-17T06:55:53.759Z, -2.63299560546875, -1.8757816553115845, -1.3196260929107666
2008-01-17T06:56:48.959Z, -2.631915330886841, -1.891920804977417, -1.3580394983291626
2008-01-17T06:57:44.159Z, -2.630557060241699, -1.907909631729126, -1.3962916135787964
2008-01-17T06:58:39.359Z, -2.6289260387420654, -1.9237496852874756, -1.4343817234039307
2008-01-17T06:59:34.559Z, -2.6270275115966797, -1.9394426345825195, -1.4723087549209595
2008-01-17T07:00:29.759Z, -2.624866485595703, -1.9549901485443115, -1.5100722312927246
2008-01-17T07:01:24.959Z, -2.622448205947876, -1.9703937768936157, -1.5476715564727783
2008-01-17T07:02:20.159Z, -2.6197774410247803, -1.9856549501419067, -1.5851058959960938
2008-01-17T07:03:15.359Z, -2.616858959197998, -2.0007755756378174, -1.6223750114440918
2008-01-17T07:04:10.559Z, -2.6136975288391113, -2.015756845474243, -1.6594784259796143
2008-01-17T07:05:05.759Z, -2.610297918319702, -2.0306005477905273, -1.696415901184082
2008-01-17T07:06:00.959Z, -2.6066644191741943, -2.0453078746795654, -1.733186960220337
2008-01-17T07:06:56.159Z, -2.6027846336364746, -2.059870481491089, -1.7697787284851074
2008-01-17T07:07:51.359Z, -2.5986764430999756, -2.0742974281311035, -1.806200623512268
2008-01-17T07:08:46.559Z, -2.594348192214966, -2.088593006134033, -1.8424557447433472
2008-01-17T07:09:41.759Z, -2.589804172515869, -2.1027581691741943, -1.8785439729690552
2008-01-17T07:10:36.959Z, -2.5850484371185303, -2.1167948246002197, -1.9144654273986816
2008-01-17T07:12:27.359Z, -2.574918031692505, -2.144486665725708, -1.98580801486969
2008-01-17T07:13:22.559Z, -2.5695507526397705, -2.15814471244812, -2.0212292671203613
2008-01-17T07:14:17.759Z, -2.5639870166778564, -2.1716794967651367, -2.0564842224121094
2008-01-17T07:15:12.959Z, -2.5582308769226074, -2.185091733932495, -2.0915729999542236
2008-01-17T07:16:08.159Z, -2.5522854328155518, -2.198383092880249, -2.126495838165283
2008-01-17T07:17:03.359Z, -2.546154499053955, -2.211554765701294, -2.161252975463867
2008-01-17T07:17:58.559Z, -2.5398361682891846, -2.224604368209839, -2.1958401203155518
2008-01-17T07:18:53.759Z, -2.53332781791687, -2.2375288009643555, -2.2302513122558594
2008-01-17T07:19:48.959Z, -2.526644468307495, -2.2503373622894287, -2.264497995376587
2008-01-17T07:20:44.159Z, -2.519789695739746, -2.263031005859375, -2.2985804080963135
2008-01-17T07:21:39.359Z, -2.512766122817993, -2.27561092376709, -2.3324990272521973
2008-01-17T07:22:34.559Z, -2.505577325820923, -2.2880783081054688, -2.3662545680999756
2008-01-17T07:23:29.759Z, -2.4982261657714844, -2.300433874130249, -2.3998472690582275
2008-01-17T07:24:24.959Z, -2.490715503692627, -2.3126790523529053, -2.4332776069641113
2008-01-17T07:25:20.159Z, -2.4830482006073, -2.324814558029175, -2.466546058654785
2008-01-17T07:26:15.359Z, -2.475227117538452, -2.336841583251953, -2.4996531009674072
2008-01-17T07:27:10.559Z, -2.467255115509033, -2.3487610816955566, -2.532599687576294
2008-01-17T07:28:05.759Z, -2.459135055541992, -2.360574245452881, -2.5653858184814453
2008-01-17T07:29:00.959Z, -2.45086932182312, -2.372281551361084, -2.5980124473571777
2008-01-17T07:29:56.159Z, -2.4424500465393066, -2.3838765621185303, -2.6304681301116943
2008-01-17T07:30:51.359Z, -2.4338879585266113, -2.3953659534454346, -2.662762403488159
2008-01-17T07:31:46.559Z, -2.4251887798309326, -2.406752824783325, -2.694898843765259
2008-01-17T07:32:41.759Z, -2.4163546562194824, -2.4180378913879395, -2.7268784046173096
2008-01-17T07:33:36.959Z, -2.4073877334594727, -2.429222345352173, -2.7587015628814697
2008-01-17T07:34:32.159Z, -2.3982908725738525, -2.4403064250946045, -2.7903687953948975
2008-01-17T07:35:27.359Z, -2.389066219329834, -2.451291561126709, -2.821881055831909
2008-01-17T07:36:22.559Z, -2.379715919494629, -2.4621784687042236, -2.853238821029663
