# Generated by Autoplot on Mon Oct 10 07:28:15 CDT 2011
# {"Proton_Density": {
#    "LABEL": "Proton Density (cm-3)",
#    "UNITS": "cm-3"
# }}
# TITLE: Proton Density (/cc)
# UNITS: cm-3
Epoch (cdfEpoch), Proton_Density (cm-3)
2003-05-01T10:18:56.732Z,    2.99
2003-05-01T10:21:26.568Z,    3.08
2003-05-01T10:23:56.406Z,    3.14
2003-05-01T10:26:26.240Z,    2.92
2003-05-01T10:28:56.078Z,    2.93
2003-05-01T10:31:25.909Z,    2.86
2003-05-01T10:33:55.746Z,    2.91
2003-05-01T10:36:25.581Z,    3.83
2003-05-01T10:38:55.421Z,    3.32
2003-05-01T10:41:25.248Z,    2.95
2003-05-01T10:43:55.085Z,    2.43
2003-05-01T10:46:24.921Z,    2.50
2003-05-01T10:48:54.755Z,    3.23
2003-05-01T10:51:24.595Z,    3.19
2003-05-01T10:53:54.427Z,    3.15
2003-05-01T10:56:24.259Z,    3.61
2003-05-01T10:58:54.096Z,    3.38
2003-05-01T11:01:23.932Z,    3.53
2003-05-01T11:03:53.764Z,    3.23
2003-05-01T11:06:23.598Z,    3.54
2003-05-01T11:08:53.436Z,    3.17
2003-05-01T11:11:23.275Z,    4.96
2003-05-01T11:13:53.105Z,    3.96
2003-05-01T11:16:22.942Z,    3.88
2003-05-01T11:18:52.772Z,    3.83
2003-05-01T11:21:22.616Z,    4.44
2003-05-01T11:23:52.445Z,    4.59
2003-05-01T11:26:22.279Z,    4.10
2003-05-01T11:28:52.117Z,    3.13
2003-05-01T11:31:21.952Z,    4.05
2003-05-01T11:33:51.785Z,    3.94
2003-05-01T11:36:21.624Z,    3.81
2003-05-01T11:38:51.457Z,    4.34
2003-05-01T11:41:21.289Z,    3.85
2003-05-01T11:43:51.129Z,    4.08
2003-05-01T11:46:20.960Z,    3.98
2003-05-01T11:48:50.802Z,    3.78
2003-05-01T11:51:20.632Z,    3.57
2003-05-01T11:53:50.475Z,    4.67
2003-05-01T11:56:20.301Z,    4.23
2003-05-01T11:58:50.142Z,    4.07
2003-05-01T12:01:19.976Z,    4.33
2003-05-01T12:03:49.813Z,    3.74
2003-05-01T12:06:19.643Z,    4.14
2003-05-01T12:08:49.477Z,    4.24
2003-05-01T12:11:19.313Z,    4.03
2003-05-01T12:13:49.148Z,    3.83
2003-05-01T12:16:18.984Z,    3.71
2003-05-01T12:18:48.816Z,    4.85
2003-05-01T12:21:18.655Z,    4.21
2003-05-01T12:23:48.488Z,    3.83
2003-05-01T12:26:18.326Z,    3.83
